Model,Test_Accuracy,CV_Mean,CV_Std
Random Forest,0.5833333333333334,0.35357142857142854,0.23915241489690298
Logistic Regression,0.5833333333333334,0.3892857142857143,0.10313949341566893
Naive Bayes,0.3333333333333333,0.2,0.15
SVM (RBF),0.3333333333333333,0.28214285714285714,0.04844521416518049
